[190, 212, 216]
[253, 181, 191]
[250, 225, 229]
[245, 191, 254]
[240, 241, 240]
[252, 243, 234]
[183, 240, 243]
[203, 252, 241]
[221, 240, 251]
[238, 254, 252]
[208, 243, 216]
[209, 202, 216]
[252, 242, 200]
[245, 188, 242]
[238, 226, 238]
[195, 202, 226]
[174, 241, 217]
[191, 229, 240]
[246, 215, 218]
[236, 230, 244]
[216, 182, 200]
[243, 216, 187]
[253, 210, 192]
[252, 245, 233]
[229, 190, 245]
[184, 212, 226]
[219, 189, 198]
[249, 227, 199]
[203, 201, 237]
[236, 210, 210]
[249, 187, 174]
[233, 199, 189]
[214, 202, 241]
[202, 237, 235]
[243, 209, 216]
[233, 247, 242]
[253, 220, 202]
[233, 206, 247]
[209, 221, 237]
[228, 209, 249]
[210, 217, 238]
[201, 186, 180]
[183, 225, 212]
[185, 183, 200]
[196, 242, 239]
[199, 248, 233]
[219, 234, 234]
[235, 236, 236]
[216, 208, 219]
[250, 225, 216]
[223, 235, 237]
[250, 240, 252]
[188, 195, 254]
[185, 246, 235]
[197, 213, 249]
[187, 204, 216]
[212, 184, 190]
[199, 245, 248]
[237, 189, 185]
[202, 245, 216]
[238, 194, 205]
[253, 197, 225]
[243, 238, 224]
[233, 197, 237]
[222, 181, 213]
[250, 234, 185]
[241, 207, 207]
[248, 179, 199]
[247, 237, 224]
[178, 221, 240]
[252, 249, 255]
[191, 220, 238]
[197, 228, 193]
[201, 241, 207]
[204, 199, 199]
[197, 237, 233]
[251, 206, 188]
[181, 255, 252]
[187, 188, 251]
[224, 213, 221]
[191, 193, 244]
[182, 217, 229]
[248, 200, 251]
[255, 221, 224]
[243, 217, 216]
[247, 233, 231]
[224, 217, 211]
[191, 186, 207]
[216, 207, 238]
[233, 248, 195]
[220, 195, 207]
[201, 245, 204]
[228, 208, 253]
[211, 184, 224]
[219, 199, 212]
[211, 250, 230]
[184, 205, 250]
[251, 192, 195]
[247, 226, 206]
[250, 209, 197]
[237, 223, 183]
[221, 226, 228]
[229, 223, 237]
[255, 224, 196]
[200, 197, 232]
[211, 252, 246]
[220, 247, 228]
[188, 204, 204]
[216, 186, 249]
[210, 195, 249]
[200, 238, 218]
[186, 204, 233]
[189, 193, 193]
[236, 214, 233]
[235, 201, 199]
[206, 227, 200]
[205, 184, 191]
[198, 240, 236]
[233, 205, 227]
[191, 185, 206]
[193, 231, 250]
[242, 249, 204]
[188, 196, 239]
[211, 210, 211]
[176, 176, 202]
[185, 184, 185]
[197, 201, 212]
[232, 181, 207]
[188, 235, 250]
[210, 185, 201]
[194, 207, 229]
[246, 201, 237]
[228, 207, 218]
[197, 198, 227]
[234, 193, 216]
[237, 182, 250]
[179, 253, 228]
[217, 211, 206]
[219, 225, 235]
[229, 207, 243]
[249, 254, 242]
[239, 206, 238]
[251, 247, 210]
[177, 179, 236]
[254, 230, 234]
[250, 192, 236]
[196, 203, 255]
[240, 250, 186]
[234, 248, 228]
[251, 229, 247]
[181, 228, 213]
[198, 189, 240]
[224, 251, 236]
[200, 215, 245]
[220, 254, 230]
[251, 236, 238]
[182, 249, 250]
[205, 184, 188]
[180, 177, 238]
[253, 235, 213]
[207, 226, 233]
[197, 208, 238]
[232, 207, 231]
[212, 246, 240]
[248, 199, 186]
[245, 235, 208]
[186, 245, 216]
[197, 204, 243]
[249, 229, 216]
[188, 189, 207]
[251, 221, 237]
[216, 204, 216]
[235, 220, 249]
[189, 192, 214]
[205, 232, 242]
[220, 239, 234]
[205, 228, 244]
[203, 251, 220]
[212, 252, 242]
[194, 248, 241]
[200, 237, 250]
[179, 208, 208]
[236, 232, 234]
[184, 202, 215]
[221, 216, 223]
[206, 251, 207]
[252, 206, 179]
[204, 178, 183]
[200, 248, 225]
[228, 225, 226]
[192, 217, 237]
[196, 245, 226]
[226, 196, 231]
[240, 221, 253]
[245, 226, 240]
[216, 193, 238]
[242, 236, 195]
[184, 247, 218]
[203, 237, 239]
[205, 239, 241]
[226, 254, 227]
[249, 182, 212]
[198, 202, 231]
[233, 205, 206]
[244, 244, 232]
[188, 240, 208]
[199, 211, 237]
[205, 212, 254]
[193, 233, 223]
[185, 239, 223]
[187, 192, 235]
[187, 224, 234]
[211, 209, 253]
[193, 242, 204]
[184, 242, 241]
[255, 222, 231]
[201, 194, 253]
[223, 205, 218]
[188, 242, 205]
[206, 177, 239]
[243, 206, 227]
[242, 194, 182]
[216, 207, 252]
[252, 220, 204]
[197, 229, 246]
[197, 191, 250]
[211, 214, 241]
[192, 183, 245]
[187, 236, 210]
[249, 228, 235]
[246, 237, 252]
[243, 235, 214]
[176, 177, 228]
[228, 193, 217]
[231, 200, 197]
[236, 228, 255]
[217, 203, 238]
[188, 250, 254]
[244, 227, 223]
[249, 195, 216]
[183, 179, 208]
[244, 199, 180]
[212, 244, 244]
[231, 253, 206]
[229, 240, 230]
[210, 189, 187]
[218, 187, 251]
[193, 230, 240]
[225, 227, 251]
[177, 253, 247]
[187, 252, 251]
[189, 193, 209]
[234, 221, 223]
[244, 252, 240]
[189, 189, 202]
[227, 184, 206]
[182, 213, 210]
[191, 184, 239]
[216, 243, 248]
[223, 207, 227]
[194, 255, 192]
[211, 191, 209]
[233, 236, 216]
[251, 239, 223]
[184, 207, 247]
[252, 212, 213]
[203, 209, 234]
[210, 182, 219]
[215, 203, 217]
[207, 190, 219]
[179, 208, 187]
[245, 249, 209]
[243, 195, 219]
[235, 201, 209]
[213, 215, 217]
[209, 195, 235]
[245, 252, 250]
[242, 187, 207]
[181, 195, 183]
[192, 207, 244]
[195, 223, 229]
[208, 245, 229]
[248, 204, 185]
[193, 245, 248]
[240, 210, 201]
[178, 178, 233]
[245, 242, 210]
[255, 196, 186]
[237, 199, 210]
[206, 247, 231]
[187, 188, 205]
[189, 250, 214]
[226, 247, 250]
[198, 207, 249]
[194, 249, 246]
[240, 179, 198]
[248, 201, 191]
[240, 202, 207]
[234, 210, 252]
[238, 195, 215]
[219, 192, 246]
[188, 183, 200]
[185, 186, 234]
[192, 221, 223]
[229, 209, 211]
[231, 240, 247]
[247, 221, 234]
[185, 178, 176]
[247, 182, 203]
[253, 235, 215]
[201, 219, 245]
[236, 203, 243]
[198, 228, 253]
[200, 195, 254]
[236, 206, 200]
[247, 193, 217]
[252, 223, 184]
[222, 219, 243]
